,symbol,date,close,volume,change,percentChange
4267,IEFA,2019-02-27,60.360001,6326300.0,-0.11,-0.182
4268,IEFA,2019-02-26,60.59,4471800.0,0.16,0.265
4269,IEFA,2019-02-25,60.27,6945400.0,-0.18,-0.298
4270,IEFA,2019-02-22,60.099998,9844900.0,-0.02,-0.033
4271,IEFA,2019-02-21,59.869999,6240000.0,-0.14,-0.233
4272,IEFA,2019-02-20,60.029999,11561700.0,0.09,0.15
4273,IEFA,2019-02-19,59.82,5734400.0,0.39,0.656
4274,IEFA,2019-02-15,59.57,6357100.0,0.25,0.421
4275,IEFA,2019-02-14,58.720001,8339700.0,-0.04,-0.068
4276,IEFA,2019-02-13,58.740002,7270800.0,-0.2,-0.339
4277,IEFA,2019-02-12,58.73,12387600.0,0.14,0.239
4278,IEFA,2019-02-11,57.970001,6589600.0,-0.08,-0.138
4279,IEFA,2019-02-08,58.080002,7333500.0,0.25,0.432
4280,IEFA,2019-02-07,58.259998,9900900.0,-0.37,-0.631
4281,IEFA,2019-02-06,59.049999,10070000.0,-0.17,-0.287
4282,IEFA,2019-02-05,59.41,8113200.0,0.17,0.287
4283,IEFA,2019-02-04,58.93,10609100.0,0.31,0.529
4284,IEFA,2019-02-01,58.709999,10219900.0,-0.02,-0.034
4285,IEFA,2019-01-31,58.68,14452500.0,0.05,0.085
4286,IEFA,2019-01-30,58.689999,9926500.0,0.34,0.583
4287,IEFA,2019-01-29,58.110001,6186800.0,-0.14,-0.24
4288,IEFA,2019-01-28,58.0,13421100.0,0.16,0.277
4289,IEFA,2019-01-25,58.27,7423600.0,0.15,0.258
4290,IEFA,2019-01-24,57.619999,9335900.0,0.03,0.052
4291,IEFA,2019-01-23,57.529999,9915900.0,-0.15,-0.26
4292,IEFA,2019-01-22,57.27,17526700.0,-0.28,-0.487
4293,IEFA,2019-01-18,58.110001,14136700.0,0.04,0.069
4294,IEFA,2019-01-17,57.529999,11600200.0,0.57,1.001
4295,IEFA,2019-01-16,57.299999,37197200.0,0.02,0.035
4296,IEFA,2019-01-15,57.18,8750700.0,0.14,0.245
4297,IEFA,2019-01-14,56.91,13343800.0,0.14,0.247
4298,IEFA,2019-01-11,57.169998,10562200.0,0.02,0.035
4299,IEFA,2019-01-10,57.549999,9585100.0,0.42,0.735
